frac, num_similar_relevant,num_similar_irrelevant,similarity_threshold_relevant,similarity_threshold_irrelevant, num_words_relevant, num_words_irrelevant, true_positive,true_negative,false_positive,false_negative,accuracy,precision,recall,f1_score
single,3,1,0.6,0.8,55,65,3,155,6,75,0.6610878661087866,0.3333333333333333,0.038461538461538464,0.06896551724137931
single,3,1,0.6,0.8,55,70,2,159,2,76,0.6736401673640168,0.5,0.02564102564102564,0.048780487804878044
single,3,1,0.6,0.8,55,75,1,159,2,77,0.6694560669456067,0.3333333333333333,0.01282051282051282,0.024691358024691357
single,3,1,0.6,0.8,55,80,1,161,0,77,0.6778242677824268,1.0,0.01282051282051282,0.02531645569620253
single,3,1,0.6,0.8,55,85,0,161,0,78,0.6736401673640168,0,0.0,0
single,3,1,0.6,0.8,55,90,0,161,0,78,0.6736401673640168,0,0.0,0
single,3,1,0.6,0.8,55,95,0,161,0,78,0.6736401673640168,0,0.0,0
single,3,1,0.6,0.8,55,100,0,161,0,78,0.6736401673640168,0,0.0,0
single,3,1,0.6,0.8,55,105,0,161,0,78,0.6736401673640168,0,0.0,0
single,3,1,0.6,0.8,55,110,0,161,0,78,0.6736401673640168,0,0.0,0
single,3,1,0.6,0.8,55,115,0,161,0,78,0.6736401673640168,0,0.0,0
single,3,1,0.6,0.8,60,50,59,103,58,19,0.6778242677824268,0.5042735042735043,0.7564102564102564,0.6051282051282051
single,3,1,0.6,0.8,60,55,36,125,36,42,0.6736401673640168,0.5,0.46153846153846156,0.48000000000000004
single,3,1,0.6,0.8,60,60,22,144,17,56,0.694560669456067,0.5641025641025641,0.28205128205128205,0.37606837606837606
single,3,1,0.6,0.8,60,65,13,152,9,65,0.6903765690376569,0.5909090909090909,0.16666666666666666,0.26
single,3,1,0.6,0.8,60,70,4,156,5,74,0.6694560669456067,0.4444444444444444,0.05128205128205128,0.09195402298850575
single,3,1,0.6,0.8,60,75,3,159,2,75,0.6778242677824268,0.6,0.038461538461538464,0.07228915662650603
single,3,1,0.6,0.8,60,80,2,159,2,76,0.6736401673640168,0.5,0.02564102564102564,0.048780487804878044
single,3,1,0.6,0.8,60,85,0,160,1,78,0.6694560669456067,0.0,0.0,0
single,3,1,0.6,0.8,60,90,0,161,0,78,0.6736401673640168,0,0.0,0
single,3,1,0.6,0.8,60,95,0,161,0,78,0.6736401673640168,0,0.0,0
single,3,1,0.6,0.8,60,100,0,161,0,78,0.6736401673640168,0,0.0,0
single,3,1,0.6,0.8,60,105,0,161,0,78,0.6736401673640168,0,0.0,0
single,3,1,0.6,0.8,60,110,0,161,0,78,0.6736401673640168,0,0.0,0
single,3,1,0.6,0.8,60,115,0,161,0,78,0.6736401673640168,0,0.0,0
single,3,1,0.6,0.8,65,50,64,81,80,14,0.606694560669456,0.4444444444444444,0.8205128205128205,0.5765765765765766
single,3,1,0.6,0.8,65,55,58,108,53,20,0.694560669456067,0.5225225225225225,0.7435897435897436,0.6137566137566137
single,3,1,0.6,0.8,65,60,33,129,32,45,0.6778242677824268,0.5076923076923077,0.4230769230769231,0.46153846153846145
single,3,1,0.6,0.8,65,65,21,146,15,57,0.698744769874477,0.5833333333333334,0.2692307692307692,0.3684210526315789
single,3,1,0.6,0.8,65,70,11,155,6,67,0.694560669456067,0.6470588235294118,0.14102564102564102,0.23157894736842105
single,3,1,0.6,0.8,65,75,3,156,5,75,0.6652719665271967,0.375,0.038461538461538464,0.06976744186046513
single,3,1,0.6,0.8,65,80,3,159,2,75,0.6778242677824268,0.6,0.038461538461538464,0.07228915662650603
single,3,1,0.6,0.8,65,85,1,159,2,77,0.6694560669456067,0.3333333333333333,0.01282051282051282,0.024691358024691357
single,3,1,0.6,0.8,65,90,0,160,1,78,0.6694560669456067,0.0,0.0,0
single,3,1,0.6,0.8,65,95,0,161,0,78,0.6736401673640168,0,0.0,0
single,3,1,0.6,0.8,65,100,0,161,0,78,0.6736401673640168,0,0.0,0
single,3,1,0.6,0.8,65,105,0,161,0,78,0.6736401673640168,0,0.0,0
single,3,1,0.6,0.8,65,110,0,161,0,78,0.6736401673640168,0,0.0,0
single,3,1,0.6,0.8,65,115,0,161,0,78,0.6736401673640168,0,0.0,0
single,3,1,0.6,0.8,70,50,72,60,101,6,0.5523012552301255,0.4161849710982659,0.9230769230769231,0.5737051792828686
single,3,1,0.6,0.8,70,55,62,90,71,16,0.6359832635983264,0.46616541353383456,0.7948717948717948,0.5876777251184834
single,3,1,0.6,0.8,70,60,57,112,49,21,0.7071129707112971,0.5377358490566038,0.7307692307692307,0.6195652173913043
single,3,1,0.6,0.8,70,65,35,133,28,43,0.702928870292887,0.5555555555555556,0.44871794871794873,0.4964539007092199
single,3,1,0.6,0.8,70,70,18,149,12,60,0.698744769874477,0.6,0.23076923076923078,0.33333333333333337
single,3,1,0.6,0.8,70,75,13,152,9,65,0.6903765690376569,0.5909090909090909,0.16666666666666666,0.26
single,3,1,0.6,0.8,70,80,4,155,6,74,0.6652719665271967,0.4,0.05128205128205128,0.09090909090909091
single,3,1,0.6,0.8,70,85,3,156,5,75,0.6652719665271967,0.375,0.038461538461538464,0.06976744186046513
single,3,1,0.6,0.8,70,90,1,159,2,77,0.6694560669456067,0.3333333333333333,0.01282051282051282,0.024691358024691357
single,3,1,0.6,0.8,70,95,1,160,1,77,0.6736401673640168,0.5,0.01282051282051282,0.025
single,3,1,0.6,0.8,70,100,0,161,0,78,0.6736401673640168,0,0.0,0
single,3,1,0.6,0.8,70,105,0,161,0,78,0.6736401673640168,0,0.0,0
single,3,1,0.6,0.8,70,110,0,161,0,78,0.6736401673640168,0,0.0,0
single,3,1,0.6,0.8,70,115,0,161,0,78,0.6736401673640168,0,0.0,0
single,3,1,0.6,0.8,75,50,73,52,109,5,0.5230125523012552,0.4010989010989011,0.9358974358974359,0.5615384615384615
single,3,1,0.6,0.8,75,55,68,65,96,10,0.5564853556485355,0.4146341463414634,0.8717948717948718,0.5619834710743802
single,3,1,0.6,0.8,75,60,60,96,65,18,0.6527196652719666,0.48,0.7692307692307693,0.5911330049261084
single,3,1,0.6,0.8,75,65,53,112,49,25,0.6903765690376569,0.5196078431372549,0.6794871794871795,0.5888888888888888
single,3,1,0.6,0.8,75,70,29,136,25,49,0.6903765690376569,0.5370370370370371,0.3717948717948718,0.43939393939393945
single,3,1,0.6,0.8,75,75,20,149,12,58,0.7071129707112971,0.625,0.2564102564102564,0.3636363636363636
single,3,1,0.6,0.8,75,80,14,152,9,64,0.694560669456067,0.6086956521739131,0.1794871794871795,0.2772277227722772
single,3,1,0.6,0.8,75,85,5,154,7,73,0.6652719665271967,0.4166666666666667,0.0641025641025641,0.1111111111111111
single,3,1,0.6,0.8,75,90,3,156,5,75,0.6652719665271967,0.375,0.038461538461538464,0.06976744186046513
single,3,1,0.6,0.8,75,95,1,158,3,77,0.6652719665271967,0.25,0.01282051282051282,0.024390243902439022
single,3,1,0.6,0.8,75,100,1,160,1,77,0.6736401673640168,0.5,0.01282051282051282,0.025
single,3,1,0.6,0.8,75,105,0,161,0,78,0.6736401673640168,0,0.0,0
single,3,1,0.6,0.8,75,110,0,161,0,78,0.6736401673640168,0,0.0,0
single,3,1,0.6,0.8,75,115,0,161,0,78,0.6736401673640168,0,0.0,0
single,3,1,0.6,0.8,80,50,74,46,115,4,0.502092050209205,0.3915343915343915,0.9487179487179487,0.5543071161048689
single,3,1,0.6,0.8,80,55,72,60,101,6,0.5523012552301255,0.4161849710982659,0.9230769230769231,0.5737051792828686
single,3,1,0.6,0.8,80,60,65,75,86,13,0.5857740585774058,0.4304635761589404,0.8333333333333334,0.5676855895196506
single,3,1,0.6,0.8,80,65,58,102,59,20,0.6694560669456067,0.49572649572649574,0.7435897435897436,0.5948717948717949
single,3,1,0.6,0.8,80,70,44,119,42,34,0.6820083682008368,0.5116279069767442,0.5641025641025641,0.5365853658536586
single,3,1,0.6,0.8,80,75,27,140,21,51,0.698744769874477,0.5625,0.34615384615384615,0.4285714285714286
single,3,1,0.6,0.8,80,80,20,147,14,58,0.698744769874477,0.5882352941176471,0.2564102564102564,0.35714285714285715
single,3,1,0.6,0.8,80,85,14,152,9,64,0.694560669456067,0.6086956521739131,0.1794871794871795,0.2772277227722772
single,3,1,0.6,0.8,80,90,7,154,7,71,0.6736401673640168,0.5,0.08974358974358974,0.15217391304347827
single,3,1,0.6,0.8,80,95,3,156,5,75,0.6652719665271967,0.375,0.038461538461538464,0.06976744186046513
single,3,1,0.6,0.8,80,100,1,159,2,77,0.6694560669456067,0.3333333333333333,0.01282051282051282,0.024691358024691357
single,3,1,0.6,0.8,80,105,0,160,1,78,0.6694560669456067,0.0,0.0,0
single,3,1,0.6,0.8,80,110,0,161,0,78,0.6736401673640168,0,0.0,0
single,3,1,0.6,0.8,80,115,0,161,0,78,0.6736401673640168,0,0.0,0
single,3,1,0.6,0.8,85,50,74,37,124,4,0.46443514644351463,0.37373737373737376,0.9487179487179487,0.5362318840579711
single,3,1,0.6,0.8,85,55,73,54,107,5,0.5313807531380753,0.40555555555555556,0.9358974358974359,0.5658914728682171
single,3,1,0.6,0.8,85,60,70,64,97,8,0.5606694560669456,0.41916167664670656,0.8974358974358975,0.5714285714285714
single,3,1,0.6,0.8,85,65,63,79,82,15,0.5941422594142259,0.43448275862068964,0.8076923076923077,0.5650224215246636
single,3,1,0.6,0.8,85,70,55,110,51,23,0.6903765690376569,0.5188679245283019,0.7051282051282052,0.5978260869565217
single,3,1,0.6,0.8,85,75,41,123,38,37,0.6861924686192469,0.5189873417721519,0.5256410256410257,0.5222929936305732
single,3,1,0.6,0.8,85,80,32,140,21,46,0.7196652719665272,0.6037735849056604,0.41025641025641024,0.48854961832061067
single,3,1,0.6,0.8,85,85,20,146,15,58,0.694560669456067,0.5714285714285714,0.2564102564102564,0.35398230088495575
single,3,1,0.6,0.8,85,90,14,152,9,64,0.694560669456067,0.6086956521739131,0.1794871794871795,0.2772277227722772
single,3,1,0.6,0.8,85,95,4,155,6,74,0.6652719665271967,0.4,0.05128205128205128,0.09090909090909091
single,3,1,0.6,0.8,85,100,2,157,4,76,0.6652719665271967,0.3333333333333333,0.02564102564102564,0.047619047619047616
single,3,1,0.6,0.8,85,105,2,158,3,76,0.6694560669456067,0.4,0.02564102564102564,0.048192771084337345
single,3,1,0.6,0.8,85,110,0,160,1,78,0.6694560669456067,0.0,0.0,0
single,3,1,0.6,0.8,85,115,0,161,0,78,0.6736401673640168,0,0.0,0
single,3,1,0.6,0.8,90,50,74,31,130,4,0.4393305439330544,0.3627450980392157,0.9487179487179487,0.524822695035461
single,3,1,0.6,0.8,90,55,73,47,114,5,0.502092050209205,0.39037433155080214,0.9358974358974359,0.5509433962264151
single,3,1,0.6,0.8,90,60,73,55,106,5,0.5355648535564853,0.40782122905027934,0.9358974358974359,0.5680933852140078
single,3,1,0.6,0.8,90,65,68,68,93,10,0.5690376569037657,0.422360248447205,0.8717948717948718,0.5690376569037657
single,3,1,0.6,0.8,90,70,59,87,74,19,0.6108786610878661,0.44360902255639095,0.7564102564102564,0.5592417061611374
single,3,1,0.6,0.8,90,75,53,110,51,25,0.6820083682008368,0.5096153846153846,0.6794871794871795,0.5824175824175823
single,3,1,0.6,0.8,90,80,39,126,35,39,0.6903765690376569,0.527027027027027,0.5,0.513157894736842
single,3,1,0.6,0.8,90,85,29,143,18,49,0.7196652719665272,0.6170212765957447,0.3717948717948718,0.464
single,3,1,0.6,0.8,90,90,19,149,12,59,0.702928870292887,0.6129032258064516,0.24358974358974358,0.34862385321100914
single,3,1,0.6,0.8,90,95,14,153,8,64,0.698744769874477,0.6363636363636364,0.1794871794871795,0.28
single,3,1,0.6,0.8,90,100,3,156,5,75,0.6652719665271967,0.375,0.038461538461538464,0.06976744186046513
single,3,1,0.6,0.8,90,105,2,157,4,76,0.6652719665271967,0.3333333333333333,0.02564102564102564,0.047619047619047616
single,3,1,0.6,0.8,90,110,2,159,2,76,0.6736401673640168,0.5,0.02564102564102564,0.048780487804878044
single,3,1,0.6,0.8,90,115,0,160,1,78,0.6694560669456067,0.0,0.0,0
single,3,1,0.6,0.8,95,50,75,28,133,3,0.4309623430962343,0.3605769230769231,0.9615384615384616,0.5244755244755245
single,3,1,0.6,0.8,95,55,73,39,122,5,0.4686192468619247,0.37435897435897436,0.9358974358974359,0.5347985347985348
single,3,1,0.6,0.8,95,60,73,48,113,5,0.5062761506276151,0.3924731182795699,0.9358974358974359,0.5530303030303031
single,3,1,0.6,0.8,95,65,71,59,102,7,0.5439330543933054,0.41040462427745666,0.9102564102564102,0.5657370517928286
single,3,1,0.6,0.8,95,70,65,76,85,13,0.5899581589958159,0.43333333333333335,0.8333333333333334,0.5701754385964913
single,3,1,0.6,0.8,95,75,57,96,65,21,0.6401673640167364,0.4672131147540984,0.7307692307692307,0.57
single,3,1,0.6,0.8,95,80,49,114,47,29,0.6820083682008368,0.5104166666666666,0.6282051282051282,0.5632183908045977
single,3,1,0.6,0.8,95,85,37,130,31,41,0.698744769874477,0.5441176470588235,0.47435897435897434,0.5068493150684932
single,3,1,0.6,0.8,95,90,27,142,19,51,0.7071129707112971,0.5869565217391305,0.34615384615384615,0.43548387096774194
single,3,1,0.6,0.8,95,95,19,147,14,59,0.694560669456067,0.5757575757575758,0.24358974358974358,0.34234234234234234
single,3,1,0.6,0.8,95,100,11,154,7,67,0.6903765690376569,0.6111111111111112,0.14102564102564102,0.22916666666666669
single,3,1,0.6,0.8,95,105,3,156,5,75,0.6652719665271967,0.375,0.038461538461538464,0.06976744186046513
single,3,1,0.6,0.8,95,110,2,158,3,76,0.6694560669456067,0.4,0.02564102564102564,0.048192771084337345
single,3,1,0.6,0.8,95,115,2,159,2,76,0.6736401673640168,0.5,0.02564102564102564,0.048780487804878044
single,3,1,0.6,0.8,100,50,77,20,141,1,0.40585774058577406,0.3532110091743119,0.9871794871794872,0.5202702702702703
single,3,1,0.6,0.8,100,55,74,32,129,4,0.4435146443514644,0.3645320197044335,0.9487179487179487,0.5266903914590747
single,3,1,0.6,0.8,100,60,73,42,119,5,0.4811715481171548,0.3802083333333333,0.9358974358974359,0.5407407407407407
single,3,1,0.6,0.8,100,65,72,55,106,6,0.5313807531380753,0.4044943820224719,0.9230769230769231,0.5625
single,3,1,0.6,0.8,100,70,68,65,96,10,0.5564853556485355,0.4146341463414634,0.8717948717948718,0.5619834710743802
single,3,1,0.6,0.8,100,75,63,81,80,15,0.602510460251046,0.4405594405594406,0.8076923076923077,0.5701357466063348
single,3,1,0.6,0.8,100,80,56,101,60,22,0.6569037656903766,0.4827586206896552,0.717948717948718,0.577319587628866
single,3,1,0.6,0.8,100,85,47,118,43,31,0.6903765690376569,0.5222222222222223,0.6025641025641025,0.5595238095238095
single,3,1,0.6,0.8,100,90,33,135,26,45,0.702928870292887,0.559322033898305,0.4230769230769231,0.4817518248175182
single,3,1,0.6,0.8,100,95,26,144,17,52,0.7112970711297071,0.6046511627906976,0.3333333333333333,0.4297520661157025
single,3,1,0.6,0.8,100,100,16,152,9,62,0.702928870292887,0.64,0.20512820512820512,0.3106796116504854
single,3,1,0.6,0.8,100,105,8,154,7,70,0.6778242677824268,0.5333333333333333,0.10256410256410256,0.17204301075268819
single,3,1,0.6,0.8,100,110,3,156,5,75,0.6652719665271967,0.375,0.038461538461538464,0.06976744186046513
single,3,1,0.6,0.8,100,115,2,158,3,76,0.6694560669456067,0.4,0.02564102564102564,0.048192771084337345
single,3,1,0.6,0.8,105,50,77,17,144,1,0.39330543933054396,0.34841628959276016,0.9871794871794872,0.5150501672240801
single,3,1,0.6,0.8,105,55,76,26,135,2,0.42677824267782427,0.36018957345971564,0.9743589743589743,0.5259515570934256
single,3,1,0.6,0.8,105,60,74,35,126,4,0.4560669456066946,0.37,0.9487179487179487,0.5323741007194245
single,3,1,0.6,0.8,105,65,73,46,115,5,0.497907949790795,0.3882978723404255,0.9358974358974359,0.5488721804511278
single,3,1,0.6,0.8,105,70,71,62,99,7,0.5564853556485355,0.4176470588235294,0.9102564102564102,0.5725806451612904
single,3,1,0.6,0.8,105,75,68,73,88,10,0.5899581589958159,0.4358974358974359,0.8717948717948718,0.5811965811965812
single,3,1,0.6,0.8,105,80,61,88,73,17,0.6234309623430963,0.4552238805970149,0.782051282051282,0.5754716981132075
single,3,1,0.6,0.8,105,85,54,106,55,24,0.6694560669456067,0.4954128440366973,0.6923076923076923,0.5775401069518717
single,3,1,0.6,0.8,105,90,45,120,41,33,0.6903765690376569,0.5232558139534884,0.5769230769230769,0.5487804878048781
single,3,1,0.6,0.8,105,95,33,137,24,45,0.7112970711297071,0.5789473684210527,0.4230769230769231,0.4888888888888889
single,3,1,0.6,0.8,105,100,24,147,14,54,0.7154811715481172,0.631578947368421,0.3076923076923077,0.41379310344827586
single,3,1,0.6,0.8,105,105,16,152,9,62,0.702928870292887,0.64,0.20512820512820512,0.3106796116504854
single,3,1,0.6,0.8,105,110,9,153,8,69,0.6778242677824268,0.5294117647058824,0.11538461538461539,0.18947368421052632
single,3,1,0.6,0.8,105,115,3,157,4,75,0.6694560669456067,0.42857142857142855,0.038461538461538464,0.07058823529411765
single,3,1,0.6,0.8,110,50,78,12,149,0,0.37656903765690375,0.3436123348017621,1.0,0.5114754098360655
single,3,1,0.6,0.8,110,55,77,23,138,1,0.41841004184100417,0.3581395348837209,0.9871794871794872,0.5255972696245733
single,3,1,0.6,0.8,110,60,75,29,132,3,0.4351464435146444,0.36231884057971014,0.9615384615384616,0.5263157894736843
single,3,1,0.6,0.8,110,65,73,38,123,5,0.46443514644351463,0.37244897959183676,0.9358974358974359,0.5328467153284673
single,3,1,0.6,0.8,110,70,72,52,109,6,0.5188284518828452,0.39779005524861877,0.9230769230769231,0.555984555984556
single,3,1,0.6,0.8,110,75,71,65,96,7,0.5690376569037657,0.4251497005988024,0.9102564102564102,0.5795918367346938
single,3,1,0.6,0.8,110,80,68,76,85,10,0.602510460251046,0.4444444444444444,0.8717948717948718,0.5887445887445887
single,3,1,0.6,0.8,110,85,59,94,67,19,0.6401673640167364,0.46825396825396826,0.7564102564102564,0.5784313725490196
single,3,1,0.6,0.8,110,90,51,112,49,27,0.6820083682008368,0.51,0.6538461538461539,0.5730337078651685
single,3,1,0.6,0.8,110,95,41,123,38,37,0.6861924686192469,0.5189873417721519,0.5256410256410257,0.5222929936305732
single,3,1,0.6,0.8,110,100,28,142,19,50,0.7112970711297071,0.5957446808510638,0.358974358974359,0.448
single,3,1,0.6,0.8,110,105,22,148,13,56,0.7112970711297071,0.6285714285714286,0.28205128205128205,0.38938053097345127
single,3,1,0.6,0.8,110,110,15,152,9,63,0.698744769874477,0.625,0.19230769230769232,0.29411764705882354
single,3,1,0.6,0.8,110,115,11,156,5,67,0.698744769874477,0.6875,0.14102564102564102,0.2340425531914894
single,3,1,0.6,0.8,115,50,78,9,152,0,0.36401673640167365,0.3391304347826087,1.0,0.5064935064935064
single,3,1,0.6,0.8,115,55,78,20,141,0,0.4100418410041841,0.3561643835616438,1.0,0.5252525252525252
single,3,1,0.6,0.8,115,60,77,25,136,1,0.42677824267782427,0.3615023474178404,0.9871794871794872,0.5292096219931272
single,3,1,0.6,0.8,115,65,73,35,126,5,0.45188284518828453,0.36683417085427134,0.9358974358974359,0.5270758122743683
single,3,1,0.6,0.8,115,70,73,48,113,5,0.5062761506276151,0.3924731182795699,0.9358974358974359,0.5530303030303031
single,3,1,0.6,0.8,115,75,71,58,103,7,0.5397489539748954,0.40804597701149425,0.9102564102564102,0.5634920634920635
single,3,1,0.6,0.8,115,80,70,69,92,8,0.5815899581589958,0.43209876543209874,0.8974358974358975,0.5833333333333333
single,3,1,0.6,0.8,115,85,65,84,77,13,0.6234309623430963,0.45774647887323944,0.8333333333333334,0.5909090909090909
single,3,1,0.6,0.8,115,90,57,102,59,21,0.6652719665271967,0.49137931034482757,0.7307692307692307,0.5876288659793815
single,3,1,0.6,0.8,115,95,48,117,44,30,0.6903765690376569,0.5217391304347826,0.6153846153846154,0.5647058823529412
single,3,1,0.6,0.8,115,100,39,128,33,39,0.698744769874477,0.5416666666666666,0.5,0.52
single,3,1,0.6,0.8,115,105,25,143,18,53,0.702928870292887,0.5813953488372093,0.32051282051282054,0.4132231404958678
single,3,1,0.6,0.8,115,110,20,148,13,58,0.702928870292887,0.6060606060606061,0.2564102564102564,0.36036036036036034
single,3,1,0.6,0.8,115,115,15,154,7,63,0.7071129707112971,0.6818181818181818,0.19230769230769232,0.30000000000000004
single,1,1,0.6,0.6,70,60,58,112,49,20,0.7112970711297071,0.5420560747663551,0.7435897435897436,0.6270270270270271
single,1,1,0.6,0.7,70,60,58,112,49,20,0.7112970711297071,0.5420560747663551,0.7435897435897436,0.6270270270270271
single,1,1,0.6,0.8,70,60,58,112,49,20,0.7112970711297071,0.5420560747663551,0.7435897435897436,0.6270270270270271
single,1,1,0.6,0.9,70,60,58,112,49,20,0.7112970711297071,0.5420560747663551,0.7435897435897436,0.6270270270270271
single,1,1,0.7,0.6,70,60,58,112,49,20,0.7112970711297071,0.5420560747663551,0.7435897435897436,0.6270270270270271
single,1,1,0.7,0.7,70,60,58,112,49,20,0.7112970711297071,0.5420560747663551,0.7435897435897436,0.6270270270270271
single,1,1,0.7,0.8,70,60,58,112,49,20,0.7112970711297071,0.5420560747663551,0.7435897435897436,0.6270270270270271
single,1,1,0.7,0.9,70,60,58,112,49,20,0.7112970711297071,0.5420560747663551,0.7435897435897436,0.6270270270270271
single,1,1,0.8,0.6,70,60,58,112,49,20,0.7112970711297071,0.5420560747663551,0.7435897435897436,0.6270270270270271
single,1,1,0.8,0.7,70,60,58,112,49,20,0.7112970711297071,0.5420560747663551,0.7435897435897436,0.6270270270270271
single,1,1,0.8,0.8,70,60,58,112,49,20,0.7112970711297071,0.5420560747663551,0.7435897435897436,0.6270270270270271
single,1,1,0.8,0.9,70,60,58,112,49,20,0.7112970711297071,0.5420560747663551,0.7435897435897436,0.6270270270270271
single,1,1,0.9,0.6,70,60,58,112,49,20,0.7112970711297071,0.5420560747663551,0.7435897435897436,0.6270270270270271
single,1,1,0.9,0.7,70,60,58,112,49,20,0.7112970711297071,0.5420560747663551,0.7435897435897436,0.6270270270270271
single,1,1,0.9,0.8,70,60,58,112,49,20,0.7112970711297071,0.5420560747663551,0.7435897435897436,0.6270270270270271
single,1,1,0.9,0.9,70,60,58,112,49,20,0.7112970711297071,0.5420560747663551,0.7435897435897436,0.6270270270270271
single,1,2,0.6,0.6,70,60,58,111,50,20,0.7071129707112971,0.5370370370370371,0.7435897435897436,0.6236559139784946
single,1,2,0.6,0.7,70,60,58,112,49,20,0.7112970711297071,0.5420560747663551,0.7435897435897436,0.6270270270270271
single,1,2,0.6,0.8,70,60,58,112,49,20,0.7112970711297071,0.5420560747663551,0.7435897435897436,0.6270270270270271
single,1,2,0.6,0.9,70,60,58,112,49,20,0.7112970711297071,0.5420560747663551,0.7435897435897436,0.6270270270270271
single,1,2,0.7,0.6,70,60,58,111,50,20,0.7071129707112971,0.5370370370370371,0.7435897435897436,0.6236559139784946
single,1,2,0.7,0.7,70,60,58,112,49,20,0.7112970711297071,0.5420560747663551,0.7435897435897436,0.6270270270270271
single,1,2,0.7,0.8,70,60,58,112,49,20,0.7112970711297071,0.5420560747663551,0.7435897435897436,0.6270270270270271
single,1,2,0.7,0.9,70,60,58,112,49,20,0.7112970711297071,0.5420560747663551,0.7435897435897436,0.6270270270270271
single,1,2,0.8,0.6,70,60,58,111,50,20,0.7071129707112971,0.5370370370370371,0.7435897435897436,0.6236559139784946
single,1,2,0.8,0.7,70,60,58,112,49,20,0.7112970711297071,0.5420560747663551,0.7435897435897436,0.6270270270270271
single,1,2,0.8,0.8,70,60,58,112,49,20,0.7112970711297071,0.5420560747663551,0.7435897435897436,0.6270270270270271
single,1,2,0.8,0.9,70,60,58,112,49,20,0.7112970711297071,0.5420560747663551,0.7435897435897436,0.6270270270270271
single,1,2,0.9,0.6,70,60,58,111,50,20,0.7071129707112971,0.5370370370370371,0.7435897435897436,0.6236559139784946
single,1,2,0.9,0.7,70,60,58,112,49,20,0.7112970711297071,0.5420560747663551,0.7435897435897436,0.6270270270270271
single,1,2,0.9,0.8,70,60,58,112,49,20,0.7112970711297071,0.5420560747663551,0.7435897435897436,0.6270270270270271
